Name,Prices,Network_Technology,Network_2gbands,Network_3gbands,Network_4gbands,Network_Speed,Body_Dimensions,Body_Weight,Body_Build,Body_SIM,Display_Type,Display_Resolution,Platform_OS,Platform_Chipset,Platform_Cpu,Platform_Gpu,Memory_Cardslot,Memory_Internalmemory,MainCamera_Cameraspecs,MainCamera_Features,MainCamera_Video,SelfieCamera_Cameraspecs,SelfieCamera_Features,Sound_Feature,Sound_3.5mmjack,COMMS_WLAN,COMMS_Bluetooth,COMMS_NFC,COMMS_Radio,COMMS_USB,Battery_Type,Battery_Charging,Colors,Price
Samsung A877 Impression,,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 ,,HSPA 3.6/0.384 Mbps,114 x 58 x 15 mm (4.49 x 2.28 x 0.59 in),150 g (5.29 oz),,Mini-SIM,"3.2 inches, 29.1 cm","240 x 400 pixels, 5:3 ratio (~146 ppi density)",,,,,microSDHC (dedicated slot),190MB,3.15 MP,flash,Yes,Yes,,Yes,No,WLANNo,"2.0, A2DP",,No,2.0,Removable Li-Ion 1000 mAh battery,,"Black, Blue",About 110 EUR
Samsung A657,,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 ,,HSPA 3.6/0.384 Mbps,115 x 52 x 19.5 mm (4.53 x 2.05 x 0.77 in),123 g (4.34 oz),,Mini-SIM,"1.9 inches, 11.4 cm",176 x 220 pixels (~148 ppi density),,,,,microSDHC (dedicated slot),128MB,No,,,,,Yes,No,WLANNo,"2.0, A2DP",,No,2.0,Removable Li-Ion 1420 mAh battery,,Black,
Samsung E1210,,GSM,GSM 900 / 1800 ,,,,108 x 43.5 x 14.3 mm (4.25 x 1.71 x 0.56 in),72.5 g (2.54 oz),,Mini-SIM,"1.77 inches, 9.9 cm",128 x 160 pixels (~116 ppi density),,,,,No,500 KB,No,,,,,Yes,No,WLANNo,No,,FM radio,Proprietary,Removable Li-Ion 800 mAh battery,,Black,About 40 EUR
Samsung E1360,,GSM,GSM 900 / 1800 ,,,,96.8 x 45.2 x 18 mm (3.81 x 1.78 x 0.71 in),96.8 g (2.54 oz),,Mini-SIM,"1.77 inches, 9.9 cm",128 x 160 pixels (~116 ppi density),,,,,No,2MB,No,,,,,Yes,No,WLANNo,Yes,,FM radio,Proprietary,Removable Li-Ion 800 mAh battery,,"Black, White",About 40 EUR
Samsung I6210,,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,101.5 x 49 x 17.2 mm (4.00 x 1.93 x 0.68 in),118 g (4.16 oz),,Mini-SIM,"2.4 inches, 17.8 cm","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,,,,microSD (dedicated slot),29MB,2 MP,video,QCIF,No,,Yes,No,WLANNo,2.0,,FM radio,No,Removable battery,,"Black, White",About 80 EUR
Samsung J165,,GSM / UMTS,GSM 850 / 900 / 1800 / 1900 ,UMTS 850 / 2100 ,,"Yes, 384 kbps",110.5 x 48.3 x 13.4 mm (4.35 x 1.90 x 0.53 in),78 g (2.75 oz),,Mini-SIM,,128 x 160 pixels,,,,,microSD (dedicated slot),8MB,1.3 MP,,SQCIF@15fps,No,,No,No,WLANNo,2.0,,FM radio,microUSB,Removable Li-Ion 800 mAh battery,,Gray,About 70 EUR
Samsung I7500 Galaxy,,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 1700 / 2100 ,,HSPA 7.2/5.76 Mbps,115.9 x 56 x 11.9 mm (4.56 x 2.20 x 0.47 in),116.7 g (4.09 oz),,Mini-SIM,"3.2 inches, 30.5 cm","320 x 480 pixels, 3:2 ratio (~180 ppi density)",Android 1.5 (Cupcake),Qualcomm MSM7200A,528 MHz ARM 11,Adreno 130,microSDHC (dedicated slot),8GB 128MB RAM,"5 MP, AF",LED flash,Yes,No,,Yes,Yes,WLANWi-Fi 802.11 b/g,"2.0, A2DP (headset support only)",,No,microUSB 2.0,Removable Li-Ion 1500 mAh battery,,"Black, White",About 140 EUR
Samsung A177,,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,109 x 59 x 12 mm (4.29 x 2.32 x 0.47 in),88 g (3.10 oz),,Mini-SIM,"2.2 inches, 15.2 cm",220 x 176 pixels (~128 ppi density),,,,,No,64MB (14MB user available),VGA,,No,No,,Yes,No,WLANNo,2.0,,No,2.0,Removable Li-Ion 800 mAh battery,,Black,About 60 EUR
Samsung A167,,GSM,GSM 850 / 1900 ,,,,90 x 46.5 x 19.8 mm (3.54 x 1.83 x 0.78 in),87.8 g (3.10 oz),,Mini-SIM,"1.85 inches, 10.8 cm",128 x 160 pixels (~111 ppi density),,,,,No,2MB,VGA,,No,No,,Yes,No,WLANNo,No,,FM radio,No,Removable Li-Ion 800 mAh battery,,Gray,About 30 EUR
Samsung C3060R,,GSM,GSM 900 / 1800 ,,,,114 x 48.4 x 15.4 mm (4.49 x 1.91 x 0.61 in),95 g (3.35 oz),,Mini-SIM,"2.2 inches, 15.2 cm",176 x 220 pixels (~128 ppi density),,,,,No,15MB,1.3 MP,,176x144@15fps,No,,Yes,No,WLANNo,Yes,,FM radio,2.0,Removable Li-Ion 960 mAh battery,,Black,About 80 EUR
Samsung S3310,,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,109.9 x 46 x 10.9 mm (4.33 x 1.81 x 0.43 in),77 g (2.72 oz),,Mini-SIM,"2.1 inches, 13.7 cm","240 x 320 pixels, 4:3 ratio (~190 ppi density)",,,,,microSDHC (dedicated slot),30MB,2 MP,,320p@15fps,No,,Yes,No,WLANNo,"2.0, A2DP",,"Stereo FM radio, RDS",2.0,Removable Li-Ion 880 mAh battery,,Silver,About 80 EUR
Samsung i637 Jack,,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,,HSPA 3.6/0.384 Mbps,117 x 61 x 12.7 mm (4.61 x 2.40 x 0.5 in),102.1 g (3.60 oz),,Mini-SIM,"2.4 inches, 17.8 cm","320 x 240 pixels, 4:3 ratio (~167 ppi density)","Microsoft Windows Mobile 6.1 Standard, upgradable to Windows Mobile 6.5",,528 MHz,,microSDHC (dedicated slot),"256MB RAM, 256MB ROM",3.15 MP,,Yes,No,,Yes,No,WLANWi-Fi 802.11 b/g,"2.0, A2DP",,No,2.0,Removable Li-Ion 1480 mAh battery,,Black,About 120 EUR
